"","genes","QEp","pval","tau2","I2","num_exp","qval"
"48","HARS /// LOC101928623",0.000533455181331292,0.225190383830777,0.0679292637374907,85.6580058220872,4,0.747153087884085
"49","SLCO2A1",1.23247446207317e-12,0.131362254229397,0.313714825127261,91.5538506865543,7,0.648767680041289
"50","MYL12A",0.00517727449176714,0.0110755721637089,0.0161667231034166,80.49235568072,7,0.214904430735718
"51","SARS",3.06902307546685e-13,0.154678032545986,0.0545070573814824,95.5701359163105,6,0.67615112935103
"52","TROAP",5.13812612289446e-07,0.886204530670333,0.0795787581857586,89.7208370882733,7,0.981333764580547
"53","MX2",8.6101509504062e-06,0.0669259485419802,0.0653366493742306,85.2459651336303,7,0.50889553533135
"54","CERS1 /// GDF1",1.06900612903322e-05,0.631193537360429,0.0705721882612043,92.4966027060941,4,0.922842388925816
"55","PPP1R11",0.000108283644700352,0.169496764124431,0.0186087883196794,88.6520820843425,7,0.693477678569453
"56","LPP",4.14248410955283e-20,0.896050993409886,0.161933286744064,95.0676884686779,7,0.984305191236046
"57","RAC2",2.8194150270462e-06,0.181906121457297,0.0586518680429297,86.5230926513372,7,0.705110534778933
"58","TMEM97",5.66280269868922e-06,0.238880994603143,0.08040766880398,89.6890292193292,7,0.758699998512218
"59","TLR1",2.81611591552241e-08,0.087069376253515,0.0770617882614531,87.9829903230589,7,0.567221624395295
"60","LITAF",2.78830525565974e-06,0.206294227391068,0.0627122476719553,92.1061664592193,7,0.730392523945612
"61","TEF",4.88311676308647e-06,0.249721456434562,0.028006822224966,82.8945563333753,7,0.767168800192984
"62","POLB",9.02813002374967e-09,0.40617487156095,0.0316594574999272,91.0303974608535,7,0.855127388062635
"63","CD163",8.23039836536247e-54,0.489414556984717,1.31125998396392,98.5966891026687,7,0.882976867147701
"64","TERF1",2.85941536773511e-05,0.318717877931533,0.0511565902517355,90.4165675967713,7,0.812332143717109
"65","GPC1",0.000750623543168828,0.281202002909815,0.0211095828367739,76.7713309358647,7,0.791525774347632
"66","STAT2",0.000547917180670021,0.0561348074506977,0.033538721942781,86.5720698677642,7,0.473918822609698
"67","HLA-DMA",1.57257924574908e-19,0.225265903450954,0.172221231354044,94.6903046049877,7,0.747153087884085
"68","ZNF43",3.655483530364e-06,0.473412367310337,0.0446896405414084,88.359062329113,7,0.877490796047047
"69","TPM3",0.000185746433188648,0.00331220137006041,0.0124555238511126,74.4839767398106,7,0.106953919387297
"70","PTAFR",0.00872134156921674,0.0913224663606892,0.0270133228407778,69.312712200241,7,0.578194650496845
"71","ARF6",0.0366740932753557,4.27341955551386e-05,0.00375929245256888,45.915179638647,7,0.00579905755606515
"72","GPR68",2.9197347327484e-05,0.830790423990082,0.0293055415525825,79.9987625287178,7,0.972298805872249
"73","SLC25A6",2.36250980419802e-07,0.502430249199645,0.047191296777143,91.8985442667567,6,0.886381237450035
"74","CLDN5",0.00021196351099079,0.00283730049826848,0.0747193120349445,80.800491024777,7,0.0980977559306755
"75","L1CAM",1.61293788827021e-05,0.744974877439937,0.0372313906907216,85.9171163341146,7,0.952449810095768
"76","PTGDS",3.37449034356746e-13,0.048888230011441,0.218444541061692,93.9829986308254,7,0.451088670590624
