"","genes","QEp","pval","qval"
"4230","IFRD1",0.293420128111833,0.666674312343198,0.903811156102086
"4231","P2RY4",0.0183778074043497,0.791536212322772,0.953457841129541
"4232","COL4A3",7.92097748385848e-19,0.811645717005579,0.958856993179732
"4233","CALCA",0.158373893636174,0.650525539583613,0.896755879848003
"4234","C3",0.00447550203332687,0.0010649199859229,0.0410933829862013
"4235","ACRV1",0.00202028598154626,0.89224937332943,0.977154572460945
"4236","ICA1",0.0183488983667698,0.0224084799684012,0.253754632569463
"4237","NCOA4",0.142855725847657,0.0117496164553439,0.184234141088098
"4238","ALDH1A3",0.1791470909696,0.00830447468628588,0.151928875535557
"4239","MAPK8",0.0400035127304827,0.621957653973313,0.886995313709078
"4240","FPGS",0.0479985517839277,0.54836835735558,0.869201630260468
"4241","GCH1",0.507393099755304,0.130874205746869,0.552270441899666
"4242","RGN",0.0191830374341933,0.187705144183764,0.612542380710573
"4243","MC2R",0.0646102181663331,0.992239172701274,0.999570357350501
"4244","CDH4",0.00794843626611808,0.438257868007599,0.817416787120591
"4245","EDDM3A",0.236313893877036,0.359102738242208,0.760787614057144
"4246","ATP1B2",1.23798873718386e-07,0.102015095502145,0.50263231603632
"4247","UBA1",0.414433956598876,0.438729311698902,0.817501814776199
"4248","OPCML",0.0768908888675415,0.239341428662383,0.663280531332325
"4249","FGG",0.00749046664530925,0.000259236538739747,0.0146964714307768
"4250","IL23A",0.044500376582411,0.581634851609165,0.877679837270971
"4251","PDXK",0.0668958726419417,0.848392066382716,0.967233602024095
"4252","STMN2",0.491129533978678,0.590376506528635,0.87925874833632
"4253","FN1",0.00011698923146654,0.493127775261921,0.840471480489191
"4254","COL5A2",7.80008767405393e-06,0.118644260404415,0.531729806027733
"4255","DPT",4.87912328817779e-06,0.4569603954485,0.828162232707779
"4256","CDX1",0.519670588040409,0.32400313229546,0.734333561891208
"4257","ZBTB48",0.0129167898769351,0.150678551565481,0.571829537213324
"4258","PTGFR",0.104307339872125,0.379876829313212,0.781538709769834
"4259","IL7",0.000389436742322757,0.271955366764216,0.690753442867282
"4260","DDB1",7.15447940180582e-07,0.393600971874864,0.79307400739332
"4261","LMAN2",0.0194411064643297,0.127853866851095,0.549209501010504
"4262","ZKSCAN1",3.28079950634969e-05,0.886215502672057,0.975902964043204
"4263","GCLM",9.82444846644963e-06,0.209356481876575,0.638207326169489
"4264","CAPRIN1",0.647751024006319,0.000202919887724088,0.012575414430195
"4265","SEMA3A",8.10427382441163e-10,0.400168698350766,0.797180092538941
"4266","JOSD1",3.97309450330231e-09,0.823785872627883,0.96444470228894
"4267","ZNF160",0.0697345090887228,0.460913124453532,0.829467496846625
"4268","RCC1",0.00475888676062667,0.323148299196578,0.734329712245657
"4269","TIMM44",0.0017253431891703,0.0208946600538482,0.242906728053459
"4270","SLC9A1",0.170287924122957,0.933264578118292,0.989769153901543
"4271","TMED2",0.00015979512115487,0.702499563282367,0.918349272717596
"4272","PROC",0.3920643037658,0.916398328356928,0.987739666368221
"4273","LTBP1",0.297522071621142,0.0772450030829284,0.450881952865819
"4274","CDC42EP1",0.472514321440427,0.116224280239868,0.529466165537176
"4275","INPP5E",0.0169351087922228,0.160078007387641,0.582470847800355
"4276","TMF1",1.7345101742944e-06,0.995662184852152,0.999570357350501
"4277","OPRM1",4.00426785334399e-07,0.208106392129572,0.638207326169489
"4278","MTHFD1",1.44529412638489e-07,0.991071880693828,0.999570357350501
"4279","ACTA2",0.000133967863086537,0.457275105207717,0.828255555037403
"4280","TBL3",4.32302249646956e-08,0.146740137754011,0.569536355451261
