"genes","TE.random","pval.random","tau2","I2","pval.Q","num_exp","qval.random","qval.Q"
"PTGIR",-0.00153080653103098,0.973627920896918,0.00882171826950978,0.420760653638282,0.0687222340579125,11,0.994821337070742,0.100830779683487
"RNF4",0.0347053882991736,0.623698689198356,0.0397494571830227,0.783526779832972,3.92870956840024e-06,10,0.886332359826987,1.61396178710697e-05
"TMEM5",-0.0282981907532923,0.279507902891794,0.00185755785851504,0.412121959115387,0.082782986884666,10,0.719904260375626,0.118330773420602
"TMPRSS12",0.00895011500590116,0.828574892532379,0.00622349207518188,0.54440731582219,0.0315996266621496,8,0.954343484336823,0.0513058003013246
"TSTD2",-0.00185162960619374,0.952622529851747,0.00435120125850714,0.638975912189,0.00705146166357247,8,0.988790986606599,0.0137268529576418
"ALDH16A1",-0.0460164970456542,0.525441046897013,0.0336460437285004,0.840753367518509,3.68052671831157e-08,9,0.848256587182436,2.35045177693762e-07
"COL4A3BP",0.0711404689527433,0.226578059987628,0.0246266296056106,0.736791244261173,8.26117617452421e-05,10,0.676980035810996,0.000253037193808234
"IVL",0.0431453330624143,0.377716192356721,0.00971326770440719,0.474244048072305,0.0468967037280165,10,0.780539475001348,0.0724098791018721
"FCGR2A",0.0995171908141214,0.152336695075413,0.0262144512987869,0.674792002401258,0.00108086772598242,10,0.605980161955577,0.00257894599667978
"UBQLN3",-0.00333447919971891,0.916133353265568,0.00298596934608839,0.279183069132619,0.196179257075415,9,0.97842815350189,0.247981188005372
"IGF2BP3",-0.0656710646904627,0.463097555634391,0.0717804882208838,0.798617748698941,3.08629267551619e-07,11,0.820744954752018,1.60723037734037e-06
"ZNF582",-0.0361967028936584,0.187820740988841,0.00132950792170012,0.439434722975498,0.0749622375934096,9,0.646072286546588,0.108716873432087
"PUS1",0.0506543004185258,0.627312400276093,0.0906224667338625,0.805500692455843,5.35934150749206e-07,10,0.88774510419739,2.65513003185341e-06
"KCNH1",0.00900010751843807,0.678607019881595,0,0.443692379773601,0.0723704658236185,9,0.906483528623478,0.105490709819142
"TCFL5",-0.0422718350071401,0.188916289084398,0.00247059528923243,0.391215788150723,0.0970552743020516,10,0.64686313993793,0.135708641152454
"TNNI3",-0.103606274770485,0.151610285293262,0.0381410459543324,0.681250290744976,0.000509095318231821,11,0.605246926485438,0.00131103925588301
"ZNF414",-0.0440314525127468,0.465965928864727,0.0213571845757569,0.751225581196416,8.72759734661825e-05,9,0.822350959382581,0.000265637367455353
"CCDC57",-0.039728292426346,0.436385775519293,0.0144662978456649,0.661197678963059,0.00266065855029706,9,0.810625060255294,0.00577801159703125
"WNT16",0.0131633500420367,0.678211154558752,0.00358823561708463,0.490201338200166,0.0394063165114841,10,0.906430658085067,0.0622420788686321
"CMTM6",0.0819826098306984,0.377512216626333,0.0744976366475938,0.834095685705166,1.69347239632763e-08,10,0.780416181179294,1.16605047106726e-07
"SLC30A3",0.0338174043869125,0.30200337748534,0.00247293848513202,0.343259327932028,0.124012418390213,11,0.734445669649108,0.167866226352147
"RHPN1",-0.159249516400324,0.1817562031915,0.0798310417209854,0.784414759986477,3.32284722075657e-05,8,0.638522503012722,0.000110977761482826
"ELOVL3",-0.0133638590219906,0.85241433254094,0.0285866935559534,0.743355200954276,0.000297342984946353,8,0.960711567010967,0.000805071731320913
